random_state,target,r2,Modelo,posicion
1,earthworm_richness_z,0.4895472609270274,XGBoost Individual,4
1,earthworm_richness_z,0.4707719198134269,MLP Estandar,5
1,earthworm_richness_z,0.4525485025355098,RandomForest Multisalida,6
1,earthworm_richness_z,0.3186941078100102,MLP Perdida Custom,7
1,earthworm_richness_z,0.2789313433634833,Regresión Individual,8
1,earthworm_shannon_z,0.5278860367243481,Random Forest con RegressorChain,1
1,earthworm_shannon_z,0.5201944813835258,XGBoost Multisalida,2
1,earthworm_shannon_z,0.5126115486927213,RF Individual,3
1,earthworm_shannon_z,0.4147152225781622,RandomForest Multisalida,4
1,earthworm_shannon_z,0.3898016099461643,XGBoost Individual,5
1,earthworm_shannon_z,0.3673895015965218,MLP Estandar,6
1,earthworm_shannon_z,0.2456802734083877,MLP Perdida Custom,7
1,earthworm_shannon_z,0.2395443154158835,Regresión Individual,8
1,euk_asv_richness_z,0.2900028974414032,Random Forest con RegressorChain,1
1,euk_asv_richness_z,0.2298194464563295,RF Individual,2
1,euk_asv_richness_z,0.2274418371290995,MLP Estandar,3
1,euk_asv_richness_z,0.213672640704961,XGBoost Multisalida,4
1,euk_asv_richness_z,0.1736228891886497,RandomForest Multisalida,5
1,euk_asv_richness_z,0.1322405677890876,XGBoost Individual,6
1,euk_asv_richness_z,0.1159545569228462,MLP Perdida Custom,7
1,euk_asv_richness_z,0.0399642628615142,Regresión Individual,8
1,euk_shannon_z,0.1672573199497073,RF Individual,1
1,euk_shannon_z,0.1571999205160424,MLP Estandar,2
1,euk_shannon_z,0.1503958394175993,Random Forest con RegressorChain,3
1,euk_shannon_z,0.1387352200488116,RandomForest Multisalida,4
1,euk_shannon_z,0.0996460258610588,MLP Perdida Custom,5
1,euk_shannon_z,0.085538990005372,XGBoost Multisalida,6
1,euk_shannon_z,0.0407474755720241,Regresión Individual,7
1,euk_shannon_z,0.0163413551712425,XGBoost Individual,8
1,fun_asv_richness_z,0.0357748472082211,MLP Estandar,1
