random_state,earthworm_shannon_z_r2,earthworm_richness_z_r2,Modelo,r2_medio_prioritarios,posicion
400,0.4882385309790332,0.530621346274968,Random Forest con RegressorChain,0.5094299386270006,3
400,0.411205574569262,0.4967218939209952,MLP Estandar,0.4539637342451286,4
400,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
400,0.4040996477385716,0.4358610197994975,RandomForest Multisalida,0.41998033376903454,6
400,0.3552816848488695,0.4836963503276162,MLP Perdida Custom,0.41948901758824286,7
400,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
410,0.5363558831982642,0.6107331807654003,XGBoost Multisalida,0.5735445319818322,1
410,0.4997299165017168,0.5368274445882332,RF Individual,0.518278680544975,2
410,0.4777037324918606,0.517829591146692,Random Forest con RegressorChain,0.4977666618192763,3
410,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,4
410,0.403065032868272,0.4758326878121371,MLP Estandar,0.4394488603402046,5
410,0.4088322740175801,0.4518017114304122,RandomForest Multisalida,0.43031699272399615,6
410,0.3217042650500044,0.4104207058678323,MLP Perdida Custom,0.36606248545891834,7
410,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
420,0.5230676701131022,0.5822800046055658,XGBoost Multisalida,0.5526738373593341,1
420,0.4914284444582533,0.5475599872575097,RF Individual,0.5194942158578815,2
420,0.4646949085766204,0.5026943164108801,Random Forest con RegressorChain,0.48369461249375023,3
420,0.4263859430380874,0.455116564609391,RandomForest Multisalida,0.4407512538237392,4
420,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
420,0.3100671441532105,0.448889782047457,MLP Perdida Custom,0.37947846310033373,6
420,0.2807389268761386,0.3991810537938927,MLP Estandar,0.33995999033501567,7
420,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
430,0.5360212244336692,0.5830209196358398,XGBoost Multisalida,0.5595210720347545,1
430,0.5046049481017909,0.5394048182694509,RF Individual,0.5220048831856209,2
430,0.4855802954029501,0.5153858592739029,Random Forest con RegressorChain,0.5004830773384266,3
430,0.4132853850064724,0.4925476426584154,MLP Estandar,0.4529165138324439,4
430,0.3898016099461643,0.4895472609270274,XGBoost Individual,0.43967443543659585,5
430,0.3754117965034218,0.4931832766618287,MLP Perdida Custom,0.43429753658262527,6
430,0.4045099167006468,0.4468432143235329,RandomForest Multisalida,0.4256765655120899,7
430,0.2395443154158835,0.2789313433634833,Regresión Individual,0.2592378293896834,8
440,0.5235384105723344,0.5635879981261325,RF Individual,0.5435632043492334,1
440,0.4981290294501616,0.5723599824801252,XGBoost Multisalida,0.5352445059651434,2
440,0.5028752693214794,0.519515630552112,Random Forest con RegressorChain,0.5111954499367957,3
440,0.4336837210777836,0.4644050761443763,RandomForest Multisalida,0.4490443986110799,4
